
HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
8335, 81Pi 2Cyg,207330,     ,         ,21 46 47.6,+49 18 34, 4.23,-0.12,  B3III             ,*
8336,          ,207446,     ,         ,21 48 08.3,+36 34 50, 6.47,     ,  K5                ,
8337,          ,207503,     ,         ,21 49 41.1,-12 43 23, 6.31, 0.22,  A3m               ,*
8338,          ,207516,     ,         ,21 48 29.4,+38 38 55, 6.12,-0.08,  B8V               ,
8339, 12    Cep,207528,     ,         ,21 47 25.3,+60 41 34, 5.52, 1.52,  M1IIIb            ,
8340,          ,207552,     ,         ,21 50 13.1,-16 50 41, 6.38, 1.42,  K0                ,
8341,          ,207563,     ,         ,21 49 26.9,+20 27 45, 6.29,-0.10,  B2V               ,
8342,          ,207636,     ,         ,21 47 01.0,+70 09 03, 6.29,     ,  A0V               ,
8343, 14    Peg,207650,     ,         ,21 49 50.7,+30 10 27, 5.04,-0.03,  A1V s             ,*
8344, 13    Peg,207652,     ,13891    ,21 50 08.7,+17 17 08, 5.29, 0.37,  F2III-IV          ,*
8345,          ,207673,     ,         ,21 49 40.1,+41 08 56, 6.48, 0.42,  A2Ib              ,
8346,          ,207760,     ,         ,21 51 41.8,-18 37 23, 6.16, 0.36,  F0III             ,
8347,          ,207780,     ,         ,21 49 19.0,+61 16 22, 6.17, 1.67,  M1II-III          ,
8348,          ,207840,15383,         ,21 51 34.2,+19 49 36, 5.77,-0.10,  B8III             ,*
8349,          ,207857,     ,V1619 Cyg,21 51 04.9,+39 32 12, 6.17,-0.08,  B9pHgMn           ,*
8350,          ,207932,     ,HO Peg   ,21 52 18.2,+21 16 23, 6.89,     ,  M4III             ,*
8351, 51Mu  Cap,207958,     ,         ,21 53 17.8,-13 33 06, 5.08, 0.37,  F1III             ,*
8352,          ,207964,     ,         ,21 55 11.5,-61 53 11, 5.90, 0.39,  F1III             ,*
8353,   Gam Gru,207971,     ,         ,21 53 55.7,-37 21 54, 3.01,-0.12,  B8III             ,
8354, 15    Peg,207978,     ,         ,21 52 29.9,+28 47 36, 5.53, 0.42,  F6IV-V vw         ,*
8355,          ,208008,     ,         ,21 53 36.0,-10 18 42, 6.59,-0.12,  B9V               ,*
8356, 16    Peg,208057,     ,         ,21 53 03.8,+25 55 30, 5.08,-0.17,  B3Ve              ,*
8357,          ,208095,15405,13909    ,21 52 01.0,+55 47 49, 5.71,-0.13,  B6IV-V            ,*
8358,          ,208108,     ,         ,21 53 37.4,+19 40 06, 5.68, 0.01,  A0V s             ,
8359,          ,208110,     ,         ,21 53 57.8,+06 51 52, 6.15, 0.80,  G0III s           ,*
8360,          ,208111,     ,         ,21 54 10.4,-04 16 34, 5.71, 1.18,  K2III             ,
8361,          ,208132,15407,         ,21 51 37.3,+65 45 10, 6.37,     ,  A1m               ,*
8362,   Pi  Ind,208149,     ,         ,21 56 14.0,-57 53 58, 6.19, 0.21,  Am                ,*
8363,          ,208177,15432,         ,21 54 35.9,-03 18 04, 6.20, 0.48,  F5IV              ,*
8364,          ,208202,15431,         ,21 54 17.4,+19 43 06, 6.39, 0.97,  K0III+F7V         ,*
8365,          ,208285,     ,         ,21 55 55.6,-30 36 23, 6.41, 0.93,  G8III             ,
8366,          ,208321,     ,         ,21 56 22.8,-37 15 13, 5.46, 0.08,  A2Vn              ,
8367,          ,208435,     ,BZ Gru   ,21 57 02.2,-37 44 49, 6.18, 0.33,  F1III-IV          ,*
8368,   Del Ind,208450,     ,         ,21 57 55.1,-54 59 33, 4.40, 0.28,  F0IV              ,*
8369,   Kap1Ind,208496,     ,BG Ind   ,21 58 30.1,-59 00 44, 6.12, 0.46,  F3V               ,*
8370,          ,208500,     ,         ,22 01 52.1,-77 39 45, 6.41, 0.22,  A5IV-V            ,
8371, 13    Cep,208501,     ,13963    ,21 54 53.2,+56 36 41, 5.80, 0.73,  B8Ib              ,*
8372,          ,208527,     ,         ,21 56 24.0,+21 14 23, 6.40, 1.70,  K5V               ,
8373, 17    Peg,208565,     ,         ,21 56 56.4,+12 04 35, 5.54, 0.05,  A2Vnn             ,
8374,          ,208606,     ,         ,21 55 20.7,+61 32 31, 6.13, 1.60,  G8Ib              ,*
8375,          ,208682,15467,13966    ,21 55 31.1,+65 19 15, 5.86,-0.06,  B2.5Ve            ,*
8376,          ,208703,     ,         ,21 58 13.3,-05 25 29, 6.33, 0.37,  F5IV              ,
8377,          ,208727,     ,         ,21 57 02.2,+48 40 07, 6.42,-0.08,  B8V               ,
8378,          ,208735,     ,         ,21 58 43.8,-21 10 58, 6.12, 1.65,  M4III             ,
8379,          ,208737,     ,         ,21 59 17.9,-38 23 43, 5.50, 1.00,  K0III             ,
8380,          ,208741,     ,         ,22 03 03.8,-76 07 07, 5.95, 0.39,  F3III             ,
8381,          ,208796,     ,         ,22 00 24.1,-55 52 58, 6.01,-0.10,  B9IV-V            ,
8382,          ,208801,     ,         ,21 58 55.0,-04 22 23, 6.22, 1.00,  K2V               ,
8383,          ,208816,     ,VV Cep   ,21 56 39.1,+63 37 32, 4.91, 1.77,  M2Iaep+B8Ve       ,*
8384,          ,208947,     ,         ,21 57 11.1,+66 09 22, 6.43,-0.05,  B2V               ,*
8385, 18    Peg,209008,     ,         ,22 00 07.9,+06 43 03, 6.00,-0.12,  B3III             ,
8386, 12Eta PsA,209014,15536,13993    ,22 00 50.2,-28 27 13, 5.42,-0.09,  B8V               ,*
8387,   Eps Ind,209100,     ,         ,22 03 21.6,-56 47 10, 4.69, 1.06,  K4-5V             ,*
8388,          ,209112,     ,         ,21 58 53.4,+62 41 54, 5.93, 1.67,  M3IIIab           ,
8389,          ,209124,     ,         ,21 59 23.0,+57 39 30, 6.59, 0.03,  A0III-IV          ,*
8390, 28    Aqr,209128,     ,         ,22 01 05.0,+00 36 18, 5.58, 1.28, gK4                ,
8391,          ,209149,     ,         ,22 00 26.8,+33 00 22, 6.46,     ,  F5III             ,*
8392, 20    Peg,209166,15543,         ,22 01 05.4,+13 07 11, 5.60, 0.34,  F4III             ,
8393, 19    Peg,209167,     ,         ,22 01 09.2,+08 15 26, 5.65, 1.44, gK5                ,
8394,          ,209240,     ,         ,22 02 11.9,-17 54 13, 6.28, 1.01, gG7                ,
8395,          ,209258,     ,         ,21 57 51.0,+74 59 48, 6.35, 1.56,  K5                ,
8396, 29    Aqr,209278,15562,DX Aqr   ,22 02 26.6,-16 57 51, 6.37, 0.42,  A2V+K0III         ,*
8397,          ,209288,     ,14001    ,22 02 01.4,+10 58 26, 6.37,-0.10,  B5IIIn            ,
8398,          ,209335,     ,         ,22 03 17.2,-29 54 15, 7.10, 0.32,  F0IIIn            ,
8399,          ,209339,     ,13998    ,22 00 39.3,+62 29 17, 6.66, 0.06,  B0IV              ,*
8400, 16    Cep,209369,     ,         ,21 59 15.0,+73 10 48, 5.03, 0.44,  F5V               ,*
8401, 30    Aqr,209396,     ,         ,22 03 16.4,-06 31 21, 5.54, 0.96,  K0III             ,
8402, 31Omi Aqr,209409,     ,Omi Aqr  ,22 03 18.9,-02 09 19, 4.69,-0.06,  B7IVe             ,*
8403,          ,209419,     ,         ,22 01 50.6,+52 52 56, 5.78,-0.11,  B5III             ,*
8404, 21    Peg,209459,     ,         ,22 03 19.0,+11 23 11, 5.80,-0.07,  B9.5V             ,
8405, 13    PsA,209476,     ,         ,22 04 23.9,-29 55 00, 6.47, 1.63,  K5III             ,
8406, 14    Cep,209481,     ,LZ Cep   ,22 02 04.6,+58 00 02, 5.56, 0.06,  O9Vn              ,*
8407,          ,209515,15578,V1942 Cyg,22 02 56.7,+44 39 00, 5.60,-0.03,  A0IV              ,*
8408,          ,209522,     ,14011    ,22 04 36.8,-26 49 21, 5.96,-0.14,  B4IVne            ,*
8409,   Kap2Ind,209529,     ,         ,22 05 50.9,-59 38 10, 5.62, 1.46,  K4III             ,
8410, 32    Aqr,209625,     ,         ,22 04 47.4,-00 54 24, 5.30, 0.23,  A5m               ,*
8411,   Lam Gru,209688,     ,         ,22 06 06.9,-39 32 36, 4.46, 1.37,  K3III             ,
8412,          ,209693,15602,         ,22 04 34.4,+32 56 31, 6.38, 1.10,  G5Ia              ,
8413, 22Nu  Peg,209747,     ,14020    ,22 05 40.8,+05 03 31, 4.84, 1.44,  K4III             ,
8414, 34Alp Aqr,209750,     ,         ,22 05 47.0,-00 19 11, 2.96, 0.98,  G2Ib              ,*
8415,          ,209761,     ,         ,22 05 11.4,+26 40 26, 5.78, 1.25,  K2III             ,
8416, 18    Cep,209772,     ,MO Cep   ,22 03 52.9,+63 07 11, 5.29, 1.58,  M5IIIab           ,*
8417, 17Xi  Cep,209790,15600,         ,22 03 47.4,+64 37 40, 4.29, 0.34,  A3/6Vm            ,*
8418, 33Iot Aqr,209819,     ,         ,22 06 26.2,-13 52 11, 4.27,-0.07,  B9IV-V            ,
8419, 23    Peg,209833,     ,         ,22 05 34.7,+28 57 50, 5.70,-0.06,  B9Vn              ,
8420,          ,209855,     ,         ,22 10 42.5,-75 52 50, 6.55, 1.18,  K2IIICNII         ,
8421,          ,209857,     ,HT Lac   ,22 05 16.4,+46 44 41, 6.13, 1.61,  M4IIIab           ,*
8422,          ,209932,     ,         ,22 05 50.6,+45 06 44, 6.44,-0.03,  A0V               ,
8423,          ,209942,15571,         ,21 58 12.7,+82 52 11, 6.98, 0.52,  F6IV-V            ,*
8424,          ,209945,     ,14028    ,22 06 02.0,+45 00 52, 5.14, 1.57,  K5III             ,
8425,   Alp Gru,209952,     ,14040    ,22 08 14.0,-46 57 40, 1.74,-0.13,  B7IV              ,*
8426, 20    Cep,209960,     ,Var?     ,22 05 00.5,+62 47 08, 5.27, 1.41,  K4III             ,*
8427,          ,209961,     ,V365 Lac ,22 05 51.2,+48 13 54, 6.27,-0.06,  B2V               ,*
8428, 19    Cep,209975,15624,         ,22 05 08.9,+62 16 48, 5.11, 0.08,  O9.5Ib            ,*
8429,          ,209993,     ,         ,22 06 12.4,+45 14 55, 6.19, 0.09,  A3V               ,
8430, 24Iot Peg,210027,     ,14034    ,22 07 00.7,+25 20 42, 3.76, 0.44,  F5V               ,*
8431, 14Mu  PsA,210049,     ,         ,22 08 23.0,-32 59 19, 4.50, 0.05,  A2V               ,
8432,          ,210056,     ,         ,22 11 55.3,-76 06 58, 6.15, 1.00,  K0III             ,
8433,   Ups PsA,210066,     ,         ,22 08 26.0,-34 02 38, 4.99, 1.48,  M1III             ,*
8434,          ,210071,     ,         ,22 06 13.5,+56 20 35, 6.39,-0.10,  A0III             ,*
8435,          ,210074,     ,         ,22 07 28.6,+19 28 32, 5.75,     , dF2                ,*
8436,          ,210090,     ,14039    ,22 07 30.0,+18 00 02, 6.35, 1.64,  M1                ,*
8437,          ,210111,     ,         ,22 08 42.7,-33 07 32, 6.37, 0.20,  A2III/IV          ,
8438, 25    Peg,210129,     ,         ,22 07 50.3,+21 42 10, 5.78,-0.10,  B7Vne             ,*
8439, 35    Aqr,210191,     ,         ,22 08 59.0,-18 31 11, 5.81,-0.17,  B2.5IV            ,
8440,          ,210204,     ,         ,22 09 58.0,-48 06 26, 6.43, 1.39,  K3III             ,
8441,          ,210210,     ,         ,22 08 17.2,+25 32 37, 6.11, 0.27,  F1IV              ,
8442,          ,210220,     ,         ,22 07 09.6,+58 50 27, 6.32, 0.88,  G6III             ,
8443,          ,210221,     ,         ,22 07 25.5,+53 18 26, 6.14, 0.43,  A3Ib              ,
8444,          ,210271,     ,14049    ,22 09 55.7,-34 00 53, 5.37, 0.24,  A5V               ,
8445,          ,210289,15659,         ,22 08 16.5,+49 47 47, 6.42,     ,  K5III             ,
8446,          ,210300,     ,         ,22 10 00.1,-28 17 33, 6.44, 0.15,  A5V               ,
8447, 15Tau PsA,210302,     ,         ,22 10 08.8,-32 32 54, 4.92, 0.48,  F6V               ,
8448,          ,210334,     ,AR Lac   ,22 08 41.0,+45 44 31, 6.11, 0.72,  G2IV+K0III        ,*
8449, 27Pi 1Peg,210354,15672,         ,22 09 13.6,+33 10 20, 5.58, 1.00,  G8IIIb            ,*
8450, 26The Peg,210418,     ,14057    ,22 10 12.0,+06 11 52, 3.53, 0.08,  A2Vp              ,*
8451,          ,210419,     ,         ,22 10 21.1,-03 53 39, 6.27,-0.01,  A1Vnn             ,
8452, 38    Aqr,210424,     ,         ,22 10 37.5,-11 33 54, 5.46,-0.12,  B7III             ,
8453,          ,210434,     ,         ,22 10 33.8,-04 16 02, 6.01, 0.98,  K0III-IV          ,
8454, 29Pi 2Peg,210459,     ,         ,22 09 59.2,+33 10 42, 4.29, 0.46,  F5III             ,*
8455,          ,210460,     ,         ,22 10 19.0,+19 37 01, 6.18, 0.69,  G0V               ,*
8456,          ,210461,15690,         ,22 10 22.2,+14 37 48, 6.33, 1.08,  K0III             ,
8457,          ,210464,     ,         ,22 11 02.4,-21 13 57, 6.09, 0.50,  F6V               ,
8458,          ,210502,     ,         ,22 10 37.4,+11 37 28, 5.78, 1.58,  M1III             ,
8459, 28    Peg,210516,     ,         ,22 10 30.2,+20 58 41, 6.46, 0.12,  A3III             ,
8460,          ,210594,     ,         ,22 10 51.6,+30 33 11, 6.32, 0.18,  A8IV              ,
8461,          ,210702,     ,         ,22 11 51.3,+16 02 26, 5.95, 0.95,  K1III             ,*
8462, 39    Aqr,210705,     ,14068    ,22 12 25.8,-14 11 38, 6.03, 0.38,  F2V               ,
8463,          ,210715,15708,         ,22 11 09.9,+50 49 24, 5.40, 0.15,  A5V               ,*
8464,          ,210739,     ,         ,22 12 57.5,-26 19 40, 6.17, 0.17,  A3V               ,
8465, 21Zet Cep,210745,     ,14066    ,22 10 51.3,+58 12 04, 3.35, 1.57,  K1.5Ib            ,*
8466,          ,210762,     ,         ,22 12 08.0,+24 57 00, 5.92, 1.51,  K0                ,
8467,          ,210763,     ,         ,22 12 43.8,-04 43 15, 6.39, 0.50,  F7V               ,
8468, 24    Cep,210807,     ,         ,22 09 48.4,+72 20 28, 4.79, 0.92,  G7II-III          ,
8469, 22Lam Cep,210839,     ,14069    ,22 11 30.7,+59 24 52, 5.04, 0.25,  O6I(n)fp          ,*
8470,          ,210848,     ,         ,22 13 44.4,-25 10 51, 5.58, 0.49,  F6III-II          ,
8471,   Psi Oct,210853,     ,         ,22 17 50.5,-77 30 42, 5.51, 0.31,  F3III             ,*
8472,          ,210855,     ,         ,22 11 48.8,+56 50 22, 5.24, 0.51,  F8V               ,*
8473,          ,210873,     ,         ,22 10 15.3,+72 06 40, 6.37,-0.06,  B9pHgMn:          ,*
8474,          ,210884,15719,         ,22 10 38.9,+70 07 58, 5.50, 0.38,  F2V               ,*
8475,          ,210889,     ,         ,22 12 47.8,+34 36 17, 5.33, 1.13,  K2-III-IIIb       ,
8476,          ,210905,     ,         ,22 11 56.9,+59 05 05, 6.30, 1.13,  K0III             ,*
8477,          ,210918,     ,         ,22 14 38.6,-41 22 54, 6.23, 0.65,  G5V               ,
8478, 16Lam PsA,210934,     ,         ,22 14 18.8,-27 46 01, 5.43,-0.16,  B8III             ,
8479,          ,210939,     ,         ,22 12 01.9,+60 45 34, 5.35, 1.17,  K1III             ,*
8480, 41    Aqr,210960,15753,         ,22 14 18.0,-21 04 27, 5.32, 0.80,  K0III+F2V         ,*
8481,   Eps Oct,210967,     ,Eps Oct  ,22 20 01.5,-80 26 23, 5.10, 1.47,  M5III             ,*
8482,          ,211006,     ,         ,22 13 38.6,+28 36 30, 5.89, 1.15,  K2III             ,
8483,          ,211029,     ,         ,22 12 22.3,+63 17 29, 5.79, 1.67,  M3IIIab           ,
8484,          ,211053,     ,         ,22 15 35.1,-44 27 07, 6.10, 1.02,  G8-K0III          ,
8485,          ,211073,15758,14076    ,22 13 52.7,+39 42 54, 4.49, 1.39,  K3III             ,*
8486,   Mu 1Gru,211088,     ,         ,22 15 36.9,-41 20 48, 4.79, 0.80,  G8III+G           ,
8487,          ,211096,     ,         ,22 13 49.3,+45 26 27, 5.53, 0.04,  A0III             ,
8488,   Mu 2Gru,211202,     ,         ,22 16 26.6,-41 37 39, 5.10, 0.92,  G8III             ,
8489,          ,211211,     ,         ,22 14 44.4,+42 57 14, 5.71, 0.00,  A2Vnn             ,
8490,          ,211242,     ,         ,22 13 49.5,+63 09 45, 6.11,-0.08,  B8Vn              ,
8491,          ,211287,     ,         ,22 15 59.8,+08 32 58, 6.21, 0.02,  A1Vn              ,
8492,          ,211291,     ,         ,22 16 37.4,-25 53 54, 6.15, 1.11,  K1II/III          ,
8493,          ,211300,15764,14078    ,22 12 52.9,+73 18 26, 6.08, 1.01,  K0II-III+A3V      ,*
8494, 23Eps Cep,211336,     ,Eps Cep  ,22 15 02.0,+57 02 37, 4.19, 0.28,  F0IV              ,*
8495,          ,211356,     ,         ,22 16 33.6,-01 35 47, 6.15, 0.19,  A5Vn              ,
8496, 42    Aqr,211361,     ,         ,22 16 48.1,-12 49 53, 5.34, 1.14, gK0                ,
8497,          ,211364,     ,         ,22 16 59.8,-23 08 24, 6.17, 1.05,  G5                ,
8498,  1    Lac,211388,     ,         ,22 15 58.2,+37 44 56, 4.13, 1.46,  K3-II-III         ,
8499, 43The Aqr,211391,     ,         ,22 16 50.0,-07 47 00, 4.16, 0.98,  G8III-IV          ,*
8500,          ,211392,     ,14095    ,22 16 52.6,-09 02 24, 5.79, 1.16, gK3                ,
8501,          ,211415,     ,         ,22 18 15.6,-53 37 40, 5.37, 0.60,  G3V               ,
8502,   Alp Tuc,211416,     ,         ,22 18 30.1,-60 15 35, 2.86, 1.39,  K3III             ,*
8503,          ,211432,     ,         ,22 16 29.7,+27 48 15, 6.37, 0.99,  G9III             ,
8504, 44    Aqr,211434,     ,14100    ,22 17 06.5,-05 23 14, 5.75, 0.88,  G6III             ,
8505,   Ups Oct,211539,     ,         ,22 31 37.4,-85 58 02, 5.77, 1.02,  K0III             ,
8506,          ,211554,     ,         ,22 16 26.5,+57 13 13, 5.88, 0.93,  G8III             ,
8507,          ,211575,     ,         ,22 18 04.3,-00 14 16, 6.39, 0.44,  F3V               ,
8508, 45    Aqr,211676,     ,         ,22 19 00.8,-13 18 18, 5.95, 1.06, gG7                ,
8509,          ,211726,     ,         ,22 20 36.2,-57 30 36, 6.34, 1.37,  K3-4III           ,
8510,          ,211797,15828,         ,22 18 56.2,+37 46 10, 6.17, 0.28,  A9IIIp            ,*
8511, 25    Cep,211833,     ,         ,22 18 12.7,+62 48 16, 5.75, 1.26,  K3III             ,
8512, 46Rho Aqr,211838,     ,         ,22 20 11.9,-07 49 16, 5.37,-0.06,  B8IIIpMn:Hg:      ,
8513, 30    Peg,211924,15847,14122    ,22 20 27.6,+05 47 22, 5.37,-0.02,  B5IV              ,*
8514,          ,211976,     ,         ,22 20 55.8,+08 11 12, 6.17, 0.44,  F6V               ,
8515,   Nu  Ind,211998,     ,         ,22 24 36.8,-72 15 20, 5.29, 0.65,  A3V:+F9V          ,*
8516, 47    Aqr,212010,     ,         ,22 21 35.6,-21 35 54, 5.13, 1.07,  K2III             ,
8517,          ,212047,     ,14127    ,22 21 00.1,+26 56 07, 6.47, 1.59,  M4III             ,
8518, 48Gam Aqr,212061,15864,14132    ,22 21 39.4,-01 23 14, 3.84,-0.05,  A0V               ,*
8519,          ,212071,     ,         ,22 20 39.6,+50 58 51, 6.42,     ,  K2                ,
8520, 31    Peg,212076,     ,IN Peg   ,22 21 31.1,+12 12 19, 5.01,-0.13,  B2IV-Ve           ,*
8521,   Pi 1Gru,212087,     ,Pi1 Gru  ,22 22 43.9,-45 56 52, 6.62, 2.01,  S5,7e             ,*
8522, 32    Peg,212097,15863,         ,22 21 19.3,+28 19 50, 4.81, 0.00,  B9III             ,
8523,  2    Lac,212120,15862,14130    ,22 21 01.6,+46 32 12, 4.57,-0.10,  B6V               ,*
8524,   Pi 2Gru,212132,     ,         ,22 23 08.0,-45 55 43, 5.62, 0.36,  F3III-IV          ,*
8525,          ,212150,     ,         ,22 18 20.4,+76 29 17, 6.66, 0.00,  A1Vn              ,
8526,          ,212168,     ,         ,22 25 51.0,-75 00 56, 6.04, 0.64,  G3V               ,
8527,          ,212211,     ,         ,22 25 10.5,-70 25 54, 5.78, 0.38,  F3III             ,
8528,          ,212222,     ,         ,22 21 50.9,+42 04 42, 6.41,-0.08,  B5V               ,
8529, 49    Aqr,212271,     ,         ,22 23 30.9,-24 45 45, 5.53, 0.99, gG9                ,
8530,          ,212320,     ,         ,22 23 32.1,-07 11 40, 5.93, 1.00,  G6IIIBaII         ,*
8531,          ,212330,     ,         ,22 24 56.4,-57 47 50, 5.32, 0.67,  G3IV              ,
8532, 33    Peg,212395,15896,         ,22 23 39.6,+20 50 54, 6.04,     ,  F7V               ,*
8533, 51    Aqr,212404,15902,         ,22 24 06.9,-04 50 13, 5.78,-0.04,  A0V               ,*
8534, 50    Aqr,212430,     ,         ,22 24 27.1,-13 31 46, 5.76, 0.97,  G6.5III           ,
8535,          ,212454,     ,         ,22 23 00.2,+57 17 04, 6.16,-0.13,  B8III-IV          ,*
8536,          ,212487,     ,         ,22 23 54.2,+38 34 25, 6.22, 0.49,  F5IV:             ,
8537,          ,212495,     ,         ,22 23 00.2,+62 25 12, 6.04, 0.05,  A1V               ,
8538,  3Bet Lac,212496,     ,         ,22 23 33.6,+52 13 45, 4.43, 1.02,  G8.5IIIbCa1       ,
8539, 52Pi  Aqr,212571,     ,Pi  Aqr  ,22 25 16.6,+01 22 39, 4.66,-0.03,  B1Ve              ,*
8540,   Del Tuc,212581,     ,14158    ,22 27 20.0,-64 57 59, 4.48,-0.03,  B9.5V             ,*
8541,  4    Lac,212593,     ,         ,22 24 31.0,+49 28 35, 4.57, 0.09,  B9Iab             ,
8542,          ,212643,     ,         ,22 26 10.7,-23 40 57, 6.29,-0.03,  A0V               ,
8543,          ,212670,     ,         ,22 25 40.7,+18 26 40, 6.26, 1.22,  K0                ,
8544, 53    Aqr,212697,15934,         ,22 26 34.2,-16 44 29, 6.57,     ,  G2V               ,*
8545, 53    Aqr,212698,15934,         ,22 26 34.4,-16 44 33, 6.35, 0.61,  G1V               ,*
8546,          ,212710,     ,         ,22 13 10.6,+86 06 29, 5.27,-0.03,  B9.5Vn            ,
8547,          ,212728,     ,         ,22 28 37.7,-67 29 21, 5.55, 0.20,  A4V               ,
8548, 34    Peg,212754,15935,         ,22 26 37.4,+04 23 37, 5.75, 0.52,  F7V               ,*
8549,          ,212883,15942,         ,22 26 45.7,+37 26 38, 6.46,-0.13,  B2V               ,*
8550,          ,212937,     ,         ,22 23 41.3,+78 14 36, 6.76,-0.06,  B9                ,*
8551, 35    Peg,212943,     ,         ,22 27 51.5,+04 41 44, 4.79, 1.05,  K0III             ,
8552,   Nu  Gru,212953,     ,         ,22 28 39.2,-39 07 55, 5.47, 0.95,  G9III             ,
8553,          ,212978,     ,         ,22 27 26.5,+39 48 35, 6.14,-0.14,  B2V               ,*
8554,          ,212986,     ,         ,22 26 59.2,+56 26 00, 6.57,-0.10,  B5III             ,
8555,          ,212988,     ,         ,22 27 46.2,+31 50 25, 5.98, 1.45,  K2                ,
8556,   Del1Gru,213009,     ,14169    ,22 29 16.2,-43 29 44, 3.97, 1.03,  G6-8III           ,
8557,          ,213022,     ,         ,22 26 00.8,+70 46 15, 5.47, 1.20, gK2                ,
8558, 55Zet1Aqr,213051,15971,         ,22 28 49.7,-00 01 13, 4.59,     ,  F6IV              ,*
8559, 55Zet2Aqr,213052,15971,         ,22 28 50.1,-00 01 12, 4.42, 0.38,  F3V               ,*
8560,   Del2Gru,213080,     ,Del2 Gru ,22 29 45.5,-43 44 58, 4.11, 1.57,  M4.5IIIa          ,*
8561, 26    Cep,213087,     ,         ,22 27 05.3,+65 07 56, 5.46, 0.37,  B0.5Ibe:          ,*
8562, 36    Peg,213119,     ,         ,22 29 08.0,+09 07 44, 5.58, 1.55,  K5IIIa            ,
8563,          ,213135,     ,14175    ,22 29 46.0,-27 06 26, 5.95, 0.33,  F1V               ,
8564,          ,213179,     ,         ,22 29 10.2,+26 45 47, 5.79, 1.25,  K2II              ,
8565,          ,213198,     ,         ,22 30 01.5,-12 54 54, 6.40, 0.32,  F3IV              ,*
8566, 37    Peg,213235,15988,         ,22 29 58.0,+04 25 54, 5.48, 0.38,  F2V+F2V           ,*
8567, 56    Aqr,213236,     ,         ,22 30 17.4,-14 35 09, 6.37,-0.04,  B8V s             ,*
8568,          ,213242,     ,         ,22 28 19.7,+64 05 08, 6.29, 1.08,  K0                ,
8569,          ,213272,     ,         ,22 29 43.9,+35 43 32, 6.56,     ,  A2V               ,
8570,   Zet PsA,213296,     ,14180    ,22 30 53.7,-26 04 25, 6.43, 1.08,  K1III             ,
8571, 27Del Cep,213306,15987,Del Cep  ,22 29 10.3,+58 24 55, 3.75, 0.60,  F5Ib-G2Ib         ,*
8572,  5    Lac,213310,     ,14177    ,22 29 31.8,+47 42 25, 4.36, 1.68,  M0II+B8V          ,*
8573, 57Sig Aqr,213320,     ,         ,22 30 38.8,-10 40 41, 4.82,-0.06,  A0IV s            ,*
8574, 38    Peg,213323,     ,         ,22 30 01.8,+32 34 21, 5.65,-0.04,  B9.5V             ,
8575,          ,213389,     ,V350 Lac ,22 30 06.5,+49 21 22, 6.40, 1.15,  K2IIIe            ,*
8576, 17Bet PsA,213398,     ,         ,22 31 30.3,-32 20 46, 4.29, 0.01,  A0V               ,*
8577,          ,213402,     ,         ,22 35 26.4,-78 46 18, 6.15, 1.38,  K1III             ,
8578, 28Rho1Cep,213403,     ,         ,22 26 42.5,+78 47 09, 5.83, 0.15,  A2Vm              ,
8579,  6    Lac,213420,     ,         ,22 30 29.3,+43 07 24, 4.51,-0.09,  B2IV              ,*
8580,          ,213428,     ,         ,22 31 18.4,-02 54 40, 6.16, 1.08,  K0                ,
8581,          ,213429,     ,         ,22 31 18.4,-06 33 18, 6.14, 0.56,  F7V               ,
8582,   Nu  Tuc,213442,     ,Nu  Tuc  ,22 33 00.1,-61 58 56, 4.81, 1.61,  M4III             ,
8583, 58    Aqr,213464,     ,         ,22 31 41.3,-10 54 20, 6.38, 0.28,  A8III             ,
8584,          ,213534,     ,GX Peg   ,22 31 34.2,+29 32 34, 6.35, 0.19,  A5m               ,*
8585,  7Alp Lac,213558,16021,         ,22 31 17.5,+50 16 57, 3.77, 0.01,  A1V               ,*
8586, 39    Peg,213617,     ,         ,22 32 35.5,+20 13 48, 6.42, 0.32,  F1V               ,*
8587,          ,213644,     ,         ,22 32 46.9,+15 51 48, 6.32, 1.19,  K0                ,
8588,          ,213660,16031,         ,22 32 26.4,+39 46 47, 5.88, 0.16,  A6V               ,
8589,          ,213720,     ,         ,22 32 18.8,+54 02 15, 6.35,     ,  G8III             ,
8590, 60    Aqr,213789,     ,         ,22 34 02.9,-01 34 27, 5.89, 0.99,  G6III             ,
8591, 29Rho2Cep,213798,     ,         ,22 29 52.9,+78 49 27, 5.50, 0.06,  A3V               ,*
8592, 59Ups Aqr,213845,     ,         ,22 34 41.6,-20 42 30, 5.20, 0.44,  F4IV              ,
8593,          ,213884,     ,         ,22 35 52.9,-57 53 01, 6.23, 0.20,  A5V               ,
8594,          ,213930,     ,14213    ,22 33 40.6,+56 37 30, 5.71, 0.96,  G8III-IV          ,*
8595,          ,213973,16057,         ,22 33 02.9,+69 54 49, 6.60, 0.32,  A9III             ,*
8596,          ,213986,     ,         ,22 35 36.5,-23 59 28, 5.97, 0.99, gK0                ,
8597, 62Eta Aqr,213998,     ,         ,22 35 21.4,-00 07 03, 4.02,-0.09,  B9IV-Vn           ,
8598,          ,214019,16062,         ,22 33 17.0,+70 22 26, 6.34, 0.00,  A0V               ,*
8599,          ,214035,     ,         ,22 32 16.2,+76 13 35, 5.68, 0.05,  A2V               ,
